SKU_NUMBER,MASKED_SKU,ORDER_DATE,QUANTITY
1,1,20170601,12289.67
1,1,20170602,2519
1,1,20170603,3785.17
1,1,20170604,2671.5
1,1,20170605,1228
1,1,20170606,2928.46
1,1,20170607,857
1,1,20170608,1825
1,1,20170609,2835.25
1,1,20170610,1864.5
1,1,20170611,1965.5
1,1,20170612,4997.63
1,1,20170613,4569
1,1,20170614,872.83
1,1,20170615,1072.71
1,1,20170616,4342.17
1,1,20170617,2342
1,1,20170618,6525.62
1,1,20170619,2955.75
1,1,20170620,4107.25
1,1,20170621,3282
1,1,20170622,889.25
1,1,20170623,1428.5
1,1,20170624,2581
1,1,20170625,3986.84
1,1,20170626,7740.25
1,1,20170627,2183
1,1,20170628,3193.38
1,1,20170629,871.75
1,1,20170630,2501
1,1,20170601,12289.67
1,1,20170602,2519
1,1,20170603,3785.17
1,1,20170604,2671.5
1,1,20170605,1228
1,1,20170606,2928.46
1,1,20170607,857
1,1,20170608,1825
1,1,20170609,2835.25
1,1,20170610,1864.5
1,1,20170611,1965.5
1,1,20170612,4997.63
1,1,20170613,4569
1,1,20170614,872.83
1,1,20170615,1072.71
1,1,20170616,4342.17
1,1,20170617,2342
1,1,20170618,6525.62
1,1,20170619,2955.75
1,1,20170620,4107.25
1,1,20170621,3282
1,1,20170622,889.25
1,1,20170623,1428.5
1,1,20170624,2581
1,1,20170625,3986.84
1,1,20170626,7740.25
1,1,20170627,2183
1,1,20170628,3193.38
1,1,20170629,871.75
1,1,20170630,2501
